time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,8.21617415402e-08,9.99999997444,20.0054736716,6.2828209251,6.28306014949,0.0,9.46894368337e-06,-1.68855393281e-05,0.18244344926,-0.022401374739,-0.00662384367491,0.0,462.30546993980107,461.78339697279534,463.47498447010025,461.71139609750145
0.12000000000000001,4.8487236334e-06,9.999983992,20.0230303976,6.28135051081,6.28210929968,0.0,0.000211482674333,-0.000684008734015,0.402728350529,-0.0290902598579,-0.0498966186524,0.0,475.1286873332749,471.799890423256,473.96557674026155,473.45125761635995
0.18,4.77854808425e-05,9.99990167617,20.048625788,6.27943820671,6.27981726818,0.0,0.00146251826087,-0.0022315695808,0.45043245275,-0.0381117213812,-0.0215225493115,0.0,418.2341033242512,420.696718009264,421.24742305679194,420.4662551020332
0.23999999999999996,0.000226629041898,9.99966321575,20.0832164306,6.27758540081,6.27828534035,0.0,0.00467236562233,-0.00597067979545,0.70246626159,-0.0193519283252,-0.0350823073809,0.0,483.9625915070883,482.9409709271518,481.8165577891755,483.2322455878148
0.3,0.000611634187333,9.99918985007,20.1274943297,6.276327281,6.27619636383,0.0,0.00836577621358,-0.00992588163478,0.773416077901,-0.0244154655241,-0.0342895646963,0.0,428.2530329920994,428.31988229335843,428.15288227867086,427.72191017355294
0.36000000000000004,0.00128667385821,9.99842673843,20.1797338436,6.27454611651,6.2741915056,0.0,0.0143699657234,-0.0156949621648,0.967753316833,-0.0431498974719,-0.0317191865449,0.0,466.53907346545026,466.73930824580435,467.12609428021125,465.6627857963022
0.4200000000000001,0.00233675978328,9.99730111786,20.2403327117,6.2714725133,6.27293804554,0.0,0.0207836683563,-0.0220978675085,1.05213054655,-0.076817296816,-0.00512873523178,0.0,432.2295113972826,434.46429887751503,433.857139311975,431.01932750530875
0.48000000000000015,0.003772901113,9.99574465196,20.3041495757,6.26650296225,6.27253805328,0.0,0.0271193451878,-0.0302142686756,1.0750705481,-0.0988951201546,-0.00993470960868,0.0,412.9008315991065,412.4767727603173,414.0749857775668,412.1219647477055
0.5400000000000001,0.00563205460606,9.99354912732,20.3725492406,6.26105491161,6.27174028812,0.0,0.0349240831818,-0.043569295665,1.20477789282,-0.078193608363,-0.0210477987823,0.0,448.29219507244625,447.38848079195736,446.2122747520012,447.8917774494933
0.6000000000000002,0.0079967884543,9.99040459246,20.4502307942,6.25606622028,6.27048230754,0.0,0.0440414324679,-0.0617917730683,1.38439152226,-0.0955502200756,-0.0208039421994,0.0,462.527742807475,462.5469721431601,464.1312806957065,462.7617283727766
